,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G_avg
0,GP,F,15,U,,T,2,2,other,other,,mother,1,4,0,yes,,yes,no,yes,yes,yes,no,,1,2,1,1,3,8,2.75,3.0,3.0,2.9166666666666665
1,GP,M,18,U,GT3,T,4,2,health,other,,father,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5.0,4,5,1,3,5,10,3.5,3.25,3.5,3.4166666666666665
2,GP,M,15,U,GT3,T,2,2,services,services,,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5,4,1,2,5,6,5.0,4.5,4.75,4.75
3,GP,F,19,U,GT3,T,1,1,at_home,health,,other,1,3,2,no,no,no,no,no,yes,yes,yes,4.0,1,2,1,1,3,14,4.75,4.25,4.25,4.416666666666667
4,GP,F,17,U,GT3,T,1,1,other,other,,mother,1,2,0,no,yes,yes,no,no,yes,no,no,4.0,4,4,1,3,1,4,3.25,3.25,3.5,3.3333333333333335
5,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2.0,4,3,1,1,5,7,4.75,5.0,4.75,4.833333333333333
6,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3.0,3,3,2,3,2,4,2.75,2.5,2.5,2.5833333333333335
7,GP,F,16,U,GT3,T,4,3,other,at_home,,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5.0,3,5,1,1,3,0,2.75,3.25,3.0,3.0
8,GP,M,17,R,LE3,T,1,2,other,other,,mother,1,1,0,no,no,no,no,yes,yes,no,no,2.0,2,2,3,3,5,8,5.0,4.0,4.25,4.416666666666667
9,GP,M,15,R,GT3,T,3,2,other,other,,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4.0,4,4,1,4,3,6,2.25,3.25,2.75,2.75
10,GP,M,16,R,GT3,T,4,4,teacher,teacher,,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,5,5,2,5,4,8,5.5,5.5,5.5,5.5
11,GP,F,19,U,GT3,T,3,3,other,services,,other,1,2,2,no,yes,yes,yes,yes,yes,yes,no,4.0,3,5,3,3,5,15,3.25,3.25,3.25,3.25
12,GP,M,17,U,LE3,A,3,2,teacher,services,,mother,1,1,1,no,no,no,no,yes,yes,yes,no,4.0,4,4,3,4,3,19,3.75,3.25,3.5,3.5
13,GP,M,16,U,LE3,T,2,2,other,other,,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,4,2,4,5,0,4.25,4.25,4.0,4.166666666666667
14,GP,M,15,R,GT3,T,4,4,other,other,,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1.0,3,5,3,5,1,6,3.5,4.25,4.25,4.0
15,GP,M,16,U,GT3,T,4,3,health,services,,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4.0,2,2,1,1,2,4,5.75,5.75,6.0,5.833333333333333
16,GP,M,17,U,GT3,T,3,3,other,services,,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4.0,3,5,3,5,5,3,4.5,4.75,5.0,4.75
17,GP,F,18,U,GT3,T,2,3,other,services,,father,1,4,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,5,5,1,3,2,4,4.75,4.5,4.5,4.583333333333333
18,GP,F,16,U,GT3,T,3,1,services,other,,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,2,5,4,2.75,2.75,2.5,2.6666666666666665
19,MS,F,17,R,GT3,T,1,2,other,other,,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3.0,5,5,1,3,1,14,2.5,2.25,2.25,2.3333333333333335
20,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5.0,5,5,3,4,5,6,3.75,3.75,3.5,3.6666666666666665
21,GP,F,15,U,GT3,T,2,3,other,other,,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3.0,5,1,1,1,5,0,3.0,2.75,2.5,2.75
22,GP,M,17,U,,T,1,3,at_home,services,,father,1,1,0,no,,no,no,yes,no,yes,no,,3,3,1,4,2,2,3.5,3.5,3.5,3.5
23,GP,F,16,U,GT3,T,2,2,other,other,,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,1,5,1,1,4,0,2.5,2.75,1.0,2.0833333333333335
24,GP,M,16,U,GT3,T,2,2,other,other,,father,1,2,0,no,no,no,no,yes,no,yes,no,4.0,3,5,2,4,4,4,3.5,3.5,3.5,3.5
25,GP,F,17,U,LE3,T,2,2,services,other,,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4.0,4,4,2,3,5,6,4.0,4.0,4.0,4.0
26,GP,F,17,U,GT3,T,2,4,at_home,health,,mother,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4.0,3,3,1,1,1,2,3.5,3.5,3.5,3.5
27,GP,M,18,U,LE3,T,3,4,services,other,,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,3,3,1,3,5,11,5.0,4.75,4.75,4.833333333333333
28,GP,M,15,U,LE3,T,4,4,health,services,,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,3,1,3,5,2,4.5,4.5,4.5,4.5
29,GP,M,16,U,,A,3,4,services,other,home,mother,1,2,0,yes,,no,yes,yes,yes,yes,no,,3,3,1,1,5,4,3.75,3.75,3.75,3.75
30,GP,F,16,U,GT3,T,1,3,at_home,services,,mother,1,2,3,no,no,no,yes,no,yes,yes,yes,4.0,3,5,1,1,3,0,3.0,2.75,1.0,2.25
31,GP,F,17,U,GT3,A,2,1,other,other,,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3.0,2,3,1,2,3,-1,4.0,3.5,4.0,3.8333333333333335
32,MS,M,18,U,LE3,T,4,4,teacher,services,,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,4.0,2,2,2,2,5,0,4.25,4.25,4.25,4.25
33,GP,F,15,U,,T,3,2,health,services,,father,1,2,3,no,,no,no,yes,yes,yes,no,,3,2,1,1,3,0,2.5,2.75,1.0,2.0833333333333335
34,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,1,5,2,5.0,5.5,5.5,5.333333333333333
